School Name,School Type,FARMS Pct,% Met or Exceeded Math Expectations
Watkins Mill Elementary,Elementary,77.9,15.2
Wayside Elementary,Elementary,6.1,81.6
Weller Road Elementary,Elementary,78.7,34.9
Westbrook Elementary,Elementary,4,63.5
Westover Elementary,Elementary,26.4,46.8
Wheaton Woods Elementary,Elementary,84.3,38.4
Whetstone Elementary,Elementary,63.5,28.7
"William B. Gibbs, Jr.",Elementary,36.5,47.8
William Tyler Page Elementary,Elementary,54.9,41.9
Wilson Wims Elementary School,Elementary,11.4,54.5
Wood Acres Elementary,Elementary,4,62.3
Woodfield Elementary,Elementary,22.5,74.6
Woodlin Elementary,Elementary,26.2,32.1
Wyngate Elementary,Elementary,4,65.9
