incident_case_id,date,clearance_code_inc_type,PGPD Reporting Area,PGPD Sector,PGPD BEAT,street_number,street_address,latitude,longitude,location
PP24020800000602,02/08/2024 12:00:00 AM,ACCIDENT WITH IMPOUND,648,W,W2,,INDIAN HEAD HWY SB / LIVINGSTON RD,38.670452147722244,-77.01196394860744,"(38.670452147722244,-77.01196394860744)"
PP24020800001812,02/08/2024 12:00:00 AM,"ROBBERY, OTHER",107,A,A7,,MERRIMAC DR / KEOKEE ST,38.99197381734848,-76.97915561497211,"(38.99197381734848,-76.97915561497211)"
PP24020700000453,02/07/2024 12:00:00 AM,ACCIDENT,126,A,A2,1800 BLOCK,1816 CHILLUM RD WB,38.95490039885044,-76.97981177270412,"(38.95490039885044,-76.97981177270412)"
PP24020500002149,02/05/2024 12:00:00 AM,ACCIDENT,602,J,J4,500 BLOCK,516 WILSON BRIDGE DR,38.79315531253815,-76.99884061515331,"(38.79315531253815,-76.99884061515331)"
PP24020400000301,02/04/2024 12:00:00 AM,ACCIDENT WITH IMPOUND,809,D,D2,,RACE TRACK RD / LAUREL BOWIE RD NB,39.00870606303215,-76.76294869184494,"(39.00870606303215,-76.76294869184494)"
PP24020300000826,02/03/2024 12:00:00 AM,"ROBBERY, COMMERCIAL",507,K,K3,4200 BLOCK,4229 BRANCH AVE SB,38.83186914026737,-76.94306644797325,"(38.83186914026737,-76.94306644797325)"
PP24020600000447,02/06/2024 12:00:00 AM,THEFT,332,G,G5,3200 BLOCK,3213 75TH AVE,38.93193456530571,-76.88368336856365,"(38.93193456530571,-76.88368336856365)"
PP24020600001374,02/06/2024 12:00:00 AM,ACCIDENT,768,F,F7,16600 BLOCK,16611 EAGLE HARBOR RD,38.57563605904579,-76.71767319738865,"(38.57563605904579,-76.71767319738865)"
PP24020200000318,02/02/2024 12:00:00 AM,THEFT FROM AUTO,110,A,A4,8100 BLOCK,8104 NEW RIGGS RD,38.99000531435013,-76.97587478160858,"(38.99000531435013,-76.97587478160858)"
PP24020300002181,02/03/2024 12:00:00 AM,ACCIDENT,717,E,E4,13500 BLOCK,13511 OLD MARLBORO PIKE,38.81644922494888,-76.77049461007118,"(38.81644922494888,-76.77049461007118)"
PP24020500001949,02/05/2024 12:00:00 AM,THEFT,332,G,G5,3500 BLOCK,3507 HUBBARD RD,38.93324689567089,-76.8777778595686,"(38.93324689567089,-76.8777778595686)"
PP24020700001588,02/07/2024 12:00:00 AM,ACCIDENT,3130,G,G7,,CENTRAL AVE EB / CAP BELT IL A HWY SB,38.89190839231014,-76.84726610779762,"(38.89190839231014,-76.84726610779762)"
PP24020600000776,02/06/2024 12:00:00 AM,ASSAULT,716,E,E4,12600 BLOCK,12650 BROOKE LN,38.833837643265724,-76.78821110725403,"(38.833837643265724,-76.78821110725403)"
PP24020600002312,02/06/2024 12:00:00 AM,ACCIDENT WITH IMPOUND,621,J,J6,,INDIAN HEAD HWY NB / OLD FORT RD,38.7557538151741,-76.99293510615826,"(38.7557538151741,-76.99293510615826)"
PP24020200000303,02/02/2024 12:00:00 AM,ACCIDENT,169,B,B7,,CHERRY HILL RD / PARK DR,39.0169081389904,-76.93355202674866,"(39.0169081389904,-76.93355202674866)"
PP24020800002035,02/08/2024 12:00:00 AM,ACCIDENT WITH IMPOUND,424,H,H6,,WALTERS LN / EB PENNSYLVANIA AVE OFRP WALTERS LN,38.844992473721504,-76.8918854445219,"(38.844992473721504,-76.8918854445219)"
PP24020500000464,02/05/2024 12:00:00 AM,THEFT,127,A,A5,2000 BLOCK,2000 EAST WEST HWY WB,38.96966414153576,-76.97653093934059,"(38.96966414153576,-76.97653093934059)"
PP24020500001542,02/05/2024 12:00:00 AM,ACCIDENT,648,W,W2,,INDIAN HEAD HWY NB / LIVINGSTON RD,38.67012405395508,-77.01163585484028,"(38.67012405395508,-77.01163585484028)"
PP24020600001573,02/06/2024 12:00:00 AM,"AUTO, STOLEN",443,K,K4,5000 BLOCK,5001 AUTH WAY EB,38.82596364617348,-76.92206911742687,"(38.82596364617348,-76.92206911742687)"
PP24020500000525,02/05/2024 12:00:00 AM,"AUTO, STOLEN",441,TRU,H2,6000 BLOCK,6000 PARKLAND CT,38.8545068949461,-76.90435260534286,"(38.8545068949461,-76.90435260534286)"
PP24020200000566,02/02/2024 12:00:00 AM,"B & E, COMMERCIAL",769,K,K4,4800 BLOCK,4803 ALLENTOWN RD SB,38.819730058312416,-76.89024503529072,"(38.819730058312416,-76.89024503529072)"
PP24020300000943,02/03/2024 12:00:00 AM,"AUTO, STOLEN",314,G,G4,7600 BLOCK,7600 BARLOWE RD,38.91815505921841,-76.87548127770424,"(38.91815505921841,-76.87548127770424)"
PP24020400000327,02/04/2024 12:00:00 AM,"B & E, RESIDENTIAL",801,C,C4,9900 BLOCK,9905 BOISE RD,39.05693431198597,-76.83545511960983,"(39.05693431198597,-76.83545511960983)"
PP24020600001897,02/06/2024 12:00:00 AM,THEFT,702,E,E3,10600 BLOCK,10668 CAMPUS WAY S,38.898141980171204,-76.82462836802006,"(38.898141980171204,-76.82462836802006)"
PP24020300000090,02/03/2024 12:00:00 AM,ACCIDENT WITH IMPOUND,427,H,H5,,EASTERN LN / SUITLAND RD,38.846960976719856,-76.92206911742687,"(38.846960976719856,-76.92206911742687)"
PP24020200001400,02/02/2024 12:00:00 AM,THEFT FROM AUTO,929,C,C3,10700 BLOCK,10707 HOME ACRES TER,39.03724931180477,-76.92699036002159,"(39.03724931180477,-76.92699036002159)"
PP24020700000782,02/07/2024 12:00:00 AM,ACCIDENT,733,F,F5,,ROSARYVILLE RD / CHURCHILL DR,38.77478264272213,-76.83184619247913,"(38.77478264272213,-76.83184619247913)"
PP24020500000725,02/05/2024 12:00:00 AM,"AUTO, STOLEN",859,E,E2,1600 BLOCK,1600 FAIRLAKES PL,38.91257764399052,-76.82528452575207,"(38.91257764399052,-76.82528452575207)"
PP24020300002213,02/03/2024 12:00:00 AM,ACCIDENT,329,G,G2,,HILL RD / LOWLAND DR,38.905031725764275,-76.89254161715508,"(38.905031725764275,-76.89254161715508)"
PP24020200000300,02/02/2024 12:00:00 AM,"AUTO, STOLEN & RECOVERED",429,K,K2,3700 BLOCK,3730 BRANCH AVE NB,38.840727388858795,-76.9470034390688,"(38.840727388858795,-76.9470034390688)"
PP24020600000352,02/06/2024 12:00:00 AM,ACCIDENT,612,J,J6,8500 BLOCK,8576 INDIAN HEAD HWY NB,38.77215798199177,-76.99555978178978,"(38.77215798199177,-76.99555978178978)"
PP24020200001499,02/02/2024 12:00:00 AM,THEFT FROM AUTO,858,E,E2,9100 BLOCK,9103 BASIL CT,38.91454614698887,-76.84923461079597,"(38.91454614698887,-76.84923461079597)"
PP24020600001140,02/06/2024 12:00:00 AM,ASSAULT,616,K,K6,3000 BLOCK,3016 BRINKLEY RD,38.80431014299393,-76.95717403292656,"(38.80431014299393,-76.95717403292656)"
PP24020600001233,02/06/2024 12:00:00 AM,THEFT FROM AUTO,517,J,J3,5600 BLOCK,5618 LIVINGSTON TER,38.8151368945837,-76.99588786065578,"(38.8151368945837,-76.99588786065578)"
PP24020200001703,02/02/2024 12:00:00 AM,THEFT,235,B,B4,6900 BLOCK,6929 FURMAN PKWY,38.95654080808163,-76.89877519011497,"(38.95654080808163,-76.89877519011497)"
PP24020700000678,02/07/2024 12:00:00 AM,ACCIDENT,614,K,K6,2000 BLOCK,2016 BORDER DR,38.797420397400856,-76.97193777561188,"(38.797420397400856,-76.97193777561188)"
PP24020400001645,02/04/2024 12:00:00 AM,ACCIDENT,936,C,C2,,POWDER MILL RD / FLORAL DR,39.02773489058018,-76.96275144815445,"(39.02773489058018,-76.96275144815445)"
PP24020200001215,02/02/2024 12:00:00 AM,THEFT FROM AUTO,107,A,A7,8400 BLOCK,8402 14TH AVE,38.996566981077194,-76.98374877870083,"(38.996566981077194,-76.98374877870083)"
PP24020200001271,02/02/2024 12:00:00 AM,ACCIDENT,925,C,C1,,EDMONSTON RD / OLD BALTIMORE PIKE,39.04085822403431,-76.89877519011497,"(39.04085822403431,-76.89877519011497)"
PP24020200001731,02/02/2024 12:00:00 AM,"ROBBERY, OTHER",726,F,F5,,CHEW RD / CRAIN HWY SW,38.79938890039921,-76.75573086738586,"(38.79938890039921,-76.75573086738586)"
PP24020500000498,02/05/2024 12:00:00 AM,THEFT FROM AUTO,815,TRU,D2,9900 BLOCK,9931 GOOD LUCK RD EB,38.99262997508049,-76.83578319847584,"(38.99262997508049,-76.83578319847584)"
PP24020500001599,02/05/2024 12:00:00 AM,THEFT FROM AUTO,226,B,B5,,67TH CT / RIVERDALE RD EB,38.96179014444351,-76.90238411724567,"(38.96179014444351,-76.90238411724567)"
PP24020600000720,02/06/2024 12:00:00 AM,"ROBBERY, OTHER",815,D,D2,10100 BLOCK,10121 DORSEY LN,38.99427039921284,-76.83086194097996,"(38.99427039921284,-76.83086194097996)"
PP24020700000756,02/07/2024 12:00:00 AM,"AUTO, STOLEN",731,TRU,F3,7100 BLOCK,7112 BRANCHWOOD DR,38.77412647008896,-76.8820429444313,"(38.77412647008896,-76.8820429444313)"
PP24020600000106,02/06/2024 12:00:00 AM,THEFT FROM AUTO,511,J,J2,4700 BLOCK,4702 ADDISON DR,38.82596364617348,-76.99391935765743,"(38.82596364617348,-76.99391935765743)"
PP24020200000406,02/02/2024 12:00:00 AM,THEFT FROM AUTO,408,H,H1,900 BLOCK,908 BALBOA AVE,38.879113137722015,-76.92469377815723,"(38.879113137722015,-76.92469377815723)"
PP24020500001472,02/05/2024 12:00:00 AM,THEFT,656,J,J5,6100 BLOCK,6163 OXON HILL RD SB,38.80562247335911,-76.98342069983482,"(38.80562247335911,-76.98342069983482)"
PP24020500002066,02/05/2024 12:00:00 AM,ACCIDENT,903,C,C5,8700 BLOCK,8730 CHERRY LN WB,39.08843031525612,-76.85349969565868,"(39.08843031525612,-76.85349969565868)"
PP24020600000634,02/06/2024 12:00:00 AM,ACCIDENT,243,B,B2,5100 BLOCK,5125 LAWRENCE PL,38.93259072303772,-76.92863078415394,"(38.93259072303772,-76.92863078415394)"
PP24020400000787,02/04/2024 12:00:00 AM,"AUTO, STOLEN",504,K,K1,4000 BLOCK,4005 23RD PKWY SB,38.83547806739807,-76.96176719665527,"(38.83547806739807,-76.96176719665527)"
PP24020500000550,02/05/2024 12:00:00 AM,THEFT FROM AUTO,204,TRU,B7,5000 BLOCK,5015 APACHE ST,39.00017589330673,-76.92370952665806,"(39.00017589330673,-76.92370952665806)"
PP24020400002016,02/04/2024 12:00:00 AM,"AUTO, STOLEN & RECOVERED",652,W,W2,7000 BLOCK,7054 BERRY RD NB,38.665530890226364,-77.01688519120216,"(38.665530890226364,-77.01688519120216)"
PP24020700002462,02/07/2024 12:00:00 AM,"AUTO, STOLEN",505,K,K1,4400 BLOCK,4467 23RD PKWY SB,38.828260228037834,-76.95651786029339,"(38.828260228037834,-76.95651786029339)"
PP24020200001497,02/02/2024 12:00:00 AM,"ROBBERY, OTHER",419,H,H5,3900 BLOCK,3942 SUITLAND RD,38.86074048280716,-76.94864386320114,"(38.86074048280716,-76.94864386320114)"
PP24020200000366,02/02/2024 12:00:00 AM,"AUTO, STOLEN",916,C,C4,8700 BLOCK,8779 CONTEE RD EB,39.068417221307755,-76.85415586829185,"(39.068417221307755,-76.85415586829185)"
PP24020200000397,02/02/2024 12:00:00 AM,THEFT FROM AUTO,238,B,B5,7700 BLOCK,7730 HARKINS RD,38.952603816986084,-76.87416894733906,"(38.952603816986084,-76.87416894733906)"
PP24020300001266,02/03/2024 12:00:00 AM,"B & E, COMMERCIAL",431,K,K3,3600 BLOCK,3611 SILVER PARK DR,38.84039930999279,-76.9371609389782,"(38.84039930999279,-76.9371609389782)"
PP24020200000984,02/02/2024 12:00:00 AM,THEFT,328,G,G5,8600 BLOCK,8601 MARTIN LUTHER KING JUNIOR HWY EB,38.9375119805336,-76.85907711088657,"(38.9375119805336,-76.85907711088657)"
PP24020700001786,02/07/2024 12:00:00 AM,THEFT FROM AUTO,235,B,B4,6700 BLOCK,6701 GREENLAND ST,38.95424422621727,-76.89615052938461,"(38.95424422621727,-76.89615052938461)"
PP24020600001434,02/06/2024 12:00:00 AM,ACCIDENT,928,C,C2,,POWDER MILL RD / BELTSVILLE DR NB,39.04709181189537,-76.93748903274536,"(39.04709181189537,-76.93748903274536)"
PP24020600000730,02/06/2024 12:00:00 AM,"AUTO, STOLEN",815,D,D2,9900 BLOCK,9965 GOOD LUCK RD EB,38.99394230544567,-76.83512702584267,"(38.99394230544567,-76.83512702584267)"
PP24020400000899,02/04/2024 12:00:00 AM,THEFT FROM AUTO,754,F,F7,15900 BLOCK,15922 CRAIN HWY SW,38.672420650720596,-76.87252852320671,"(38.672420650720596,-76.87252852320671)"
PP24020300000002,02/03/2024 12:00:00 AM,ACCIDENT,607,K,K5,,TEMPLE HILL RD / BRINKLEY RD,38.801029309630394,-76.92895886301994,"(38.801029309630394,-76.92895886301994)"
PP24020800000839,02/08/2024 12:00:00 AM,THEFT FROM AUTO,502,K,K2,3000 BLOCK,3001 BRANCH AVE SB,38.85352264344692,-76.95881444215775,"(38.85352264344692,-76.95881444215775)"
PP24020400000137,02/04/2024 12:00:00 AM,THEFT FROM AUTO,243,B,B2,5100 BLOCK,5100 LAWRENCE PL,38.932918816804886,-76.92895886301994,"(38.932918816804886,-76.92895886301994)"
PP24020200001654,02/02/2024 12:00:00 AM,THEFT,314,G,G4,7000 BLOCK,7051 MARTIN LUTHER KING JUNIOR HWY EB,38.91454614698887,-76.88335527479649,"(38.91454614698887,-76.88335527479649)"
PP24020500000306,02/05/2024 12:00:00 AM,"AUTO, STOLEN",510,K,K5,4500 BLOCK,4508 SAINT BARNABAS RD NB,38.82694789767265,-76.94372260570526,"(38.82694789767265,-76.94372260570526)"
PP24020700000282,02/07/2024 12:00:00 AM,THEFT FROM AUTO,502,K,K2,3200 BLOCK,3200 CURTIS DR,38.84663289785385,-76.95356510579586,"(38.84663289785385,-76.95356510579586)"
PP24020200000731,02/02/2024 12:00:00 AM,THEFT,904,C,C5,13600 BLOCK,13600 LAUREL BOWIE RD SB,39.07629123330116,-76.85021886229515,"(39.07629123330116,-76.85021886229515)"
PP24020700000345,02/07/2024 12:00:00 AM,"ROBBERY, VEHICLE",110,A,A4,1500 BLOCK,1520 KANAWHA ST,38.98770873248577,-76.9807960242033,"(38.98770873248577,-76.9807960242033)"
PP24020600002068,02/06/2024 12:00:00 AM,"ROBBERY, OTHER",517,J,J3,2100 BLOCK,2103 ALICE AVE,38.81087180972099,-76.9709535241127,"(38.81087180972099,-76.9709535241127)"
PP24020600001697,02/06/2024 12:00:00 AM,"AUTO, STOLEN",103,B,B7,9300 BLOCK,9314 CHERRY HILL RD,39.01789239048958,-76.93584860861301,"(39.01789239048958,-76.93584860861301)"
PP24020700001477,02/07/2024 12:00:00 AM,THEFT FROM AUTO,441,H,H2,5500 BLOCK,5560 SILVER HILL RD SB,38.85581922531128,-76.91222661733627,"(38.85581922531128,-76.91222661733627)"
PP24020200001512,02/02/2024 12:00:00 AM,"AUTO, STOLEN",515,J,J1,900 BLOCK,904 KENNEBEC ST,38.819073900580406,-76.99359127879143,"(38.819073900580406,-76.99359127879143)"
PP24020400000515,02/04/2024 12:00:00 AM,"AUTO, STOLEN",634,F,F4,7600 BLOCK,7616 SERENADE CIR,38.747223645448685,-76.88302719593048,"(38.747223645448685,-76.88302719593048)"
PP24020500001180,02/05/2024 12:00:00 AM,THEFT,508,K,K3,4200 BLOCK,4205 28TH AVE EB,38.83154106140137,-76.94667536020279,"(38.83154106140137,-76.94667536020279)"
PP24020800001053,02/08/2024 12:00:00 AM,THEFT,703,E,E5,20 BLOCK,28 WATKINS PARK DR NB,38.89912623167038,-76.79149194061756,"(38.89912623167038,-76.79149194061756)"
PP24020200001229,02/02/2024 12:00:00 AM,THEFT,843,D,D5,10400 BLOCK,10401 MARTIN LUTHER KING JUNIOR HWY EB,38.9535880535841,-76.82495644688606,"(38.9535880535841,-76.82495644688606)"
PP24020800000071,02/08/2024 12:00:00 AM,ACCIDENT WITH IMPOUND,613,J,J6,2200 BLOCK,2208 PIERMONT DR,38.784953221678734,-76.96931311488152,"(38.784953221678734,-76.96931311488152)"
PP24020200000364,02/02/2024 12:00:00 AM,ACCIDENT,905,C,C5,,LAUREL BOWIE RD NB / BROCK BRIDGE RD,39.0700576454401,-76.84300102293491,"(39.0700576454401,-76.84300102293491)"
PP24020500000201,02/05/2024 12:00:00 AM,"ROBBERY, COMMERCIAL",416,H,H2,2100 BLOCK,2151 BROOKS DR,38.86139664053917,-76.91878828406334,"(38.86139664053917,-76.91878828406334)"
PP24020400001431,02/04/2024 12:00:00 AM,THEFT,424,H,H6,5600 BLOCK,5614 ROCK QUARRY TER,38.840071231126785,-76.90993003547192,"(38.840071231126785,-76.90993003547192)"
PP24020400001125,02/04/2024 12:00:00 AM,"AUTO, STOLEN",424,H,H6,6500 BLOCK,6537 PENNSYLVANIA AVE EB,38.844992473721504,-76.89680670201778,"(38.844992473721504,-76.89680670201778)"
PP24020200001954,02/02/2024 12:00:00 AM,THEFT,110,A,A4,7900 BLOCK,7939 NEW HAMPSHIRE AVE NB,38.98934914171696,-76.98604536056519,"(38.98934914171696,-76.98604536056519)"
PP24020300001790,02/03/2024 12:00:00 AM,ACCIDENT,731,F,F3,,WOODYARD RD / OLD ALEXANDRIA FERRY RD,38.77609497308731,-76.86727920174599,"(38.77609497308731,-76.86727920174599)"
PP24020600000624,02/06/2024 12:00:00 AM,"AUTO, STOLEN & RECOVERED",307,E,G6,6800 BLOCK,6843 FOREST TER,38.92143589258194,-76.88729228079319,"(38.92143589258194,-76.88729228079319)"
PP24020400000149,02/04/2024 12:00:00 AM,ASSAULT,841,B,D6,9100 BLOCK,9111 ANNAPOLIS RD EB,38.96310247480869,-76.85645245015621,"(38.96310247480869,-76.85645245015621)"
PP24020700002454,02/07/2024 12:00:00 AM,THEFT FROM AUTO,426,W,H5,4100 BLOCK,4101 SUITLAND RD,38.856147304177284,-76.94241027534008,"(38.856147304177284,-76.94241027534008)"
PP24020500002021,02/05/2024 12:00:00 AM,THEFT,702,E,E3,10400 BLOCK,10490 CAMPUS WAY S,38.893876895308495,-76.82331602275372,"(38.893876895308495,-76.82331602275372)"
PP24020600000341,02/06/2024 12:00:00 AM,"AUTO, STOLEN",734,F,F6,13300 BLOCK,13302 MARLTON CENTER DR,38.77248606085777,-76.7790247797966,"(38.77248606085777,-76.7790247797966)"
PP24020700000333,02/07/2024 12:00:00 AM,THEFT FROM AUTO,226,B,B5,6800 BLOCK,6820 RIVERDALE RD WB,38.965070977807045,-76.89713478088379,"(38.965070977807045,-76.89713478088379)"
PP24020300000715,02/03/2024 12:00:00 AM,"AUTO, STOLEN",511,J,J2,800 BLOCK,823 SOUTHERN AVE,38.828260228037834,-76.9903104454279,"(38.828260228037834,-76.9903104454279)"
PP24020200000420,02/02/2024 12:00:00 AM,"AUTO, STOLEN",419,H,H5,3900 BLOCK,3964 SUITLAND RD,38.86008431017399,-76.94765961170197,"(38.86008431017399,-76.94765961170197)"
PP24020400002099,02/04/2024 12:00:00 AM,THEFT FROM AUTO,423,H,H4,2600 BLOCK,2619 FORT DR,38.85319456458092,-76.9217410236597,"(38.85319456458092,-76.9217410236597)"
